DHSCLUST,URBAN_RURA,DHSREGNA,round,displacement_R_m,primary_gp,primary_gp_prob,n_gps_hit,n_outside_any_gp,gp_distribution
290025.0,R,Hanumangarh,NFHS4,5000,37936.0,0.231,1,769,{37936.0: 231}
290030.0,R,Hanumangarh,NFHS4,5000,,0.0,0,1000,{}
290090.0,R,Ganganagar,NFHS4,5000,37835.0,0.321,9,10,"{37835.0: 321, 37837.0: 280, 37834.0: 154, 37894.0: 129, 37869.0: 32, 262682.0: 29, 37948.0: 29, 37950.0: 15, 37843.0: 1}"
290092.0,R,Ganganagar,NFHS4,5000,37833.0,0.447,8,0,"{37833.0: 447, 37829.0: 166, 37824.0: 164, 37817.0: 99, 37819.0: 95, 37828.0: 13, 37847.0: 9, 37836.0: 7}"
290235.0,R,Ganganagar,NFHS4,5000,37962.0,0.458,2,531,"{37962.0: 458, 37961.0: 11}"
290250.0,R,Ganganagar,NFHS4,5000,37835.0,0.355,7,47,"{37835.0: 355, 37834.0: 329, 37837.0: 141, 37830.0: 71, 37894.0: 34, 37843.0: 19, 37958.0: 4}"
290356.0,U,Ganganagar,NFHS4,2000,262736.0,0.375,4,425,"{262736.0: 375, 37773.0: 104, 262730.0: 75, 294628.0: 21}"
290397.0,U,Ganganagar,NFHS4,2000,37954.0,0.199,1,801,{37954.0: 199}
290416.0,R,Ganganagar,NFHS4,5000,37810.0,0.363,8,310,"{37810.0: 363, 37783.0: 119, 37801.0: 94, 37777.0: 65, 37805.0: 22, 37811.0: 11, 37779.0: 9, 37809.0: 7}"
290433.0,R,Ganganagar,NFHS4,5000,37922.0,0.32,8,82,"{37922.0: 320, 37924.0: 245, 37916.0: 134, 37923.0: 102, 37903.0: 58, 262757.0: 35, 37917.0: 15, 37919.0: 9}"
290465.0,R,Ganganagar,NFHS4,5000,37920.0,0.358,6,180,"{37920.0: 358, 37911.0: 194, 37897.0: 166, 37910.0: 57, 37918.0: 42, 37909.0: 3}"
290482.0,U,Hanumangarh,NFHS4,2000,,0.0,0,1000,{}
290505.0,U,Ganganagar,NFHS4,2000,294631.0,0.485,5,0,"{294631.0: 485, 37669.0: 408, 262414.0: 67, 37680.0: 38, 37665.0: 2}"
290506.0,R,Ganganagar,NFHS4,5000,37709.0,0.487,8,25,"{37709.0: 487, 37695.0: 140, 37715.0: 97, 37708.0: 90, 37701.0: 86, 37716.0: 36, 37661.0: 33, 37700.0: 6}"
290661.0,R,Ganganagar,NFHS4,5000,37780.0,0.343,9,105,"{37780.0: 343, 37807.0: 266, 37785.0: 119, 37881.0: 66, 37778.0: 38, 37876.0: 32, 37786.0: 29, 37892.0: 1, 37808.0: 1}"
290672.0,U,Hanumangarh,NFHS4,2000,,0.0,0,1000,{}
290697.0,R,Ganganagar,NFHS4,5000,37948.0,0.431,12,3,"{37948.0: 431, 37938.0: 178, 37928.0: 172, 37958.0: 54, 262726.0: 39, 37835.0: 33, 37945.0: 27, 37837.0: 23, 262682.0: 12, 37937.0: 10, 37955.0: 9, 37953.0: 9}"
290780.0,R,Ganganagar,NFHS4,5000,37747.0,0.385,11,26,"{37747.0: 385, 37744.0: 191, 37772.0: 191, 37748.0: 41, 37740.0: 35, 37738.0: 35, 294628.0: 28, 37752.0: 27, 37749.0: 22, 37776.0: 18, 37766.0: 1}"
290797.0,R,Ganganagar,NFHS4,5000,37879.0,0.345,10,146,"{37879.0: 345, 37885.0: 174, 37864.0: 148, 37890.0: 146, 37891.0: 20, 37889.0: 12, 37883.0: 5, 37860.0: 2, 37722.0: 1, 37867.0: 1}"
290866.0,R,Ganganagar,NFHS4,5000,37699.0,0.357,8,0,"{37699.0: 357, 37693.0: 333, 37695.0: 155, 37728.0: 70, 37668.0: 46, 37694.0: 23, 37661.0: 14, 37696.0: 2}"
290905.0,R,Hanumangarh,NFHS4,5000,,0.0,0,1000,{}
290938.0,R,Ganganagar,NFHS4,5000,262414.0,0.292,10,0,"{262414.0: 292, 37658.0: 185, 37680.0: 182, 37724.0: 86, 37704.0: 57, 37655.0: 51, 37669.0: 45, 294631.0: 43, 37652.0: 36, 37665.0: 23}"
290943.0,R,Ganganagar,NFHS4,5000,37645.0,0.456,6,0,"{37645.0: 456, 37717.0: 256, 37726.0: 120, 37727.0: 81, 37716.0: 79, 37659.0: 8}"
291035.0,U,Ganganagar,NFHS4,2000,37743.0,0.473,5,400,"{37743.0: 473, 37733.0: 84, 294628.0: 25, 37773.0: 10, 37745.0: 8}"
291046.0,R,Ganganagar,NFHS4,5000,37859.0,0.46,11,7,"{37859.0: 460, 37848.0: 160, 37861.0: 137, 37852.0: 116, 37849.0: 47, 37877.0: 37, 37866.0: 19, 37880.0: 8, 37828.0: 5, 37856.0: 3, 37871.0: 1}"
291074.0,R,Ganganagar,NFHS4,5000,37808.0,0.36,7,159,"{37808.0: 360, 37786.0: 228, 37785.0: 93, 37780.0: 92, 37801.0: 44, 37876.0: 13, 37811.0: 11}"
291092.0,R,Ganganagar,NFHS4,5000,37792.0,0.245,6,465,"{37792.0: 245, 37781.0: 226, 37787.0: 23, 37800.0: 18, 37790.0: 15, 37798.0: 8}"
291105.0,R,Ganganagar,NFHS4,5000,262431.0,0.681,6,56,"{262431.0: 681, 37664.0: 135, 37720.0: 69, 37712.0: 35, 37657.0: 12, 37671.0: 12}"
291112.0,R,Ganganagar,NFHS4,5000,37709.0,0.403,8,3,"{37709.0: 403, 37708.0: 228, 37715.0: 134, 37701.0: 121, 37695.0: 51, 37674.0: 28, 37700.0: 18, 37716.0: 14}"
291158.0,U,Ganganagar,NFHS4,2000,37650.0,0.938,4,0,"{37650.0: 938, 37721.0: 53, 37691.0: 7, 37725.0: 2}"
291162.0,R,Hanumangarh,NFHS4,5000,,0.0,0,1000,{}
291209.0,R,Bikaner,NFHS4,5000,37732.0,0.007,1,993,{37732.0: 7}
291308.0,U,Ganganagar,NFHS4,2000,262736.0,0.254,4,573,"{262736.0: 254, 262730.0: 111, 37773.0: 51, 294628.0: 11}"
291325.0,U,Ganganagar,NFHS4,2000,37743.0,0.246,1,754,{37743.0: 246}
291331.0,U,Hanumangarh,NFHS4,2000,,0.0,0,1000,{}
291380.0,R,Hanumangarh,NFHS4,5000,,0.0,0,1000,{}
291395.0,R,Ganganagar,NFHS4,5000,37645.0,0.526,7,0,"{37645.0: 526, 37727.0: 267, 37726.0: 105, 37717.0: 68, 37689.0: 17, 37716.0: 16, 37677.0: 1}"
291408.0,U,Ganganagar,NFHS4,2000,262730.0,0.192,4,684,"{262730.0: 192, 37743.0: 104, 262736.0: 14, 37737.0: 6}"
291424.0,R,Ganganagar,NFHS4,5000,37943.0,0.296,8,124,"{37943.0: 296, 37651.0: 237, 37927.0: 176, 37711.0: 96, 37654.0: 45, 262893.0: 13, 37668.0: 8, 37934.0: 5}"
291441.0,R,Ganganagar,NFHS4,5000,37655.0,0.562,7,38,"{37655.0: 562, 37658.0: 219, 262414.0: 59, 37665.0: 49, 37666.0: 38, 37652.0: 29, 37669.0: 6}"
291465.0,R,Hanumangarh,NFHS4,5000,,0.0,0,1000,{}
291483.0,R,Ganganagar,NFHS4,5000,37701.0,0.272,10,12,"{37701.0: 272, 37700.0: 215, 37695.0: 198, 37699.0: 82, 37668.0: 56, 37662.0: 52, 37708.0: 42, 37709.0: 33, 37693.0: 31, 37648.0: 7}"
