DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA
9901.0,29.012098,73.071267,U,RAJASTHAN,Ganganagar
9902.0,29.448563,73.387603,R,RAJASTHAN,Ganganagar
9903.0,29.253959,73.565642,R,RAJASTHAN,Ganganagar
9904.0,29.528002,73.450291,U,RAJASTHAN,Ganganagar
9905.0,29.21522,73.431273,R,RAJASTHAN,Ganganagar
9906.0,29.937921,73.80548,R,RAJASTHAN,Ganganagar
9907.0,29.909214,73.830969,R,RAJASTHAN,Ganganagar
9908.0,29.555335,73.749414,R,RAJASTHAN,Ganganagar
9909.0,29.188739,73.941167,R,RAJASTHAN,Ganganagar
9910.0,29.800177,73.655739,R,RAJASTHAN,Ganganagar
9911.0,30.035832,73.863966,R,RAJASTHAN,Ganganagar
9912.0,29.261623,73.192115,R,RAJASTHAN,Ganganagar
9913.0,29.216846,73.480347,R,RAJASTHAN,Ganganagar
9914.0,29.202239,73.705283,R,RAJASTHAN,Ganganagar
9915.0,28.862049,72.915402,R,RAJASTHAN,Ganganagar
9916.0,29.711087,73.62799,U,RAJASTHAN,Ganganagar
9917.0,29.890805,73.93251,R,RAJASTHAN,Ganganagar
9918.0,29.907039,73.858453,U,RAJASTHAN,Ganganagar
9919.0,29.052244,73.058367,R,RAJASTHAN,Ganganagar
9920.0,30.036509,73.749535,R,RAJASTHAN,Ganganagar
9921.0,29.920839,73.82713,U,RAJASTHAN,Ganganagar
9922.0,29.33481,73.443585,R,RAJASTHAN,Ganganagar
9923.0,29.821926,73.777931,R,RAJASTHAN,Ganganagar
9924.0,29.540062,73.908255,R,RAJASTHAN,Ganganagar
9925.0,29.197358,73.990126,R,RAJASTHAN,Ganganagar
9926.0,29.326591,73.901696,U,RAJASTHAN,Ganganagar
9927.0,29.321004,73.887723,U,RAJASTHAN,Ganganagar
9928.0,29.915592,73.832736,U,RAJASTHAN,Ganganagar
9929.0,29.931249,74.285423,R,RAJASTHAN,Ganganagar
9930.0,30.114263,73.951125,R,RAJASTHAN,Ganganagar
9931.0,29.781475,73.760186,R,RAJASTHAN,Ganganagar
9932.0,29.232712,73.708077,R,RAJASTHAN,Ganganagar
9933.0,29.34478,73.403397,R,RAJASTHAN,Ganganagar
9934.0,29.706448,73.670266,R,RAJASTHAN,Ganganagar
9935.0,29.010187,73.077245,R,RAJASTHAN,Ganganagar
9936.0,29.207067,73.182178,U,RAJASTHAN,Ganganagar
9937.0,29.888129,73.887592,U,RAJASTHAN,Ganganagar
9938.0,29.91802,73.847521,U,RAJASTHAN,Ganganagar
9939.0,29.43725,73.840909,R,RAJASTHAN,Ganganagar
9940.0,29.853244,73.512084,R,RAJASTHAN,Ganganagar
9941.0,29.973398,73.748773,R,RAJASTHAN,Ganganagar
9942.0,29.406838,73.845297,R,RAJASTHAN,Ganganagar
9943.0,29.192181,73.246165,R,RAJASTHAN,Ganganagar
9944.0,29.32661,73.899324,U,RAJASTHAN,Ganganagar
9945.0,30.09005,73.889018,R,RAJASTHAN,Ganganagar
10001.0,29.61463,74.299266,U,RAJASTHAN,Hanumangarh
10002.0,29.686725,74.273235,R,RAJASTHAN,Hanumangarh
10003.0,29.593224,74.525707,R,RAJASTHAN,Hanumangarh
10004.0,29.58408,74.326765,U,RAJASTHAN,Hanumangarh
10005.0,29.232762,75.289735,R,RAJASTHAN,Hanumangarh
10006.0,29.049633,75.198863,R,RAJASTHAN,Hanumangarh
10007.0,29.594189,74.159225,R,RAJASTHAN,Hanumangarh
10008.0,29.382645,74.261888,R,RAJASTHAN,Hanumangarh
10009.0,29.560095,74.276949,R,RAJASTHAN,Hanumangarh
10010.0,29.093982,74.794396,R,RAJASTHAN,Hanumangarh
10011.0,29.498651,74.555528,R,RAJASTHAN,Hanumangarh
10012.0,29.050816,74.312045,R,RAJASTHAN,Hanumangarh
10013.0,29.569201,74.238627,R,RAJASTHAN,Hanumangarh
10014.0,28.94545,75.195255,R,RAJASTHAN,Hanumangarh
10015.0,28.984449,74.591288,R,RAJASTHAN,Hanumangarh
10016.0,29.620478,74.315102,U,RAJASTHAN,Hanumangarh
10017.0,29.935071,74.37453,R,RAJASTHAN,Hanumangarh
10018.0,29.000829,74.957208,R,RAJASTHAN,Hanumangarh
10019.0,29.223569,74.898106,R,RAJASTHAN,Hanumangarh
10020.0,29.177494,75.287088,R,RAJASTHAN,Hanumangarh
10021.0,29.570498,74.331643,U,RAJASTHAN,Hanumangarh
10022.0,29.200326,75.329389,R,RAJASTHAN,Hanumangarh
10023.0,28.998003,75.389556,R,RAJASTHAN,Hanumangarh
10024.0,29.555963,74.518126,R,RAJASTHAN,Hanumangarh
10025.0,29.59945,74.2509,R,RAJASTHAN,Hanumangarh
10026.0,29.496313,74.075445,U,RAJASTHAN,Hanumangarh
10027.0,29.544812,74.510978,R,RAJASTHAN,Hanumangarh
10028.0,29.186262,74.766219,U,RAJASTHAN,Hanumangarh
10029.0,29.071565,74.658162,R,RAJASTHAN,Hanumangarh
10030.0,29.642845,74.344234,R,RAJASTHAN,Hanumangarh
10031.0,29.090302,74.916016,R,RAJASTHAN,Hanumangarh
10032.0,29.344891,74.817607,R,RAJASTHAN,Hanumangarh
10033.0,29.479507,74.388715,R,RAJASTHAN,Hanumangarh
10034.0,29.242138,74.88439,R,RAJASTHAN,Hanumangarh
10035.0,29.31434,74.632034,R,RAJASTHAN,Hanumangarh
10036.0,29.623349,74.258681,U,RAJASTHAN,Hanumangarh
10037.0,29.052004,75.195668,U,RAJASTHAN,Hanumangarh
10038.0,29.594138,74.326309,U,RAJASTHAN,Hanumangarh
10039.0,28.83133,74.768777,R,RAJASTHAN,Hanumangarh
10040.0,29.732118,74.440792,R,RAJASTHAN,Hanumangarh
10041.0,29.250514,74.856707,R,RAJASTHAN,Hanumangarh
10042.0,29.122102,74.868285,R,RAJASTHAN,Hanumangarh
10043.0,29.521536,73.956306,R,RAJASTHAN,Hanumangarh
10044.0,29.926642,74.428529,R,RAJASTHAN,Hanumangarh
10045.0,29.517548,74.542978,R,RAJASTHAN,Hanumangarh
10101.0,28.037567,73.300086,U,RAJASTHAN,Bikaner
10102.0,27.793085,73.531981,R,RAJASTHAN,Bikaner
10103.0,27.708467,73.087777,R,RAJASTHAN,Bikaner
10104.0,28.069473,73.375166,U,RAJASTHAN,Bikaner
10105.0,28.056668,73.779709,R,RAJASTHAN,Bikaner
10106.0,27.794015,73.064136,R,RAJASTHAN,Bikaner
10107.0,27.736659,73.691895,R,RAJASTHAN,Bikaner
10108.0,28.17589,73.296812,R,RAJASTHAN,Bikaner
10109.0,27.960197,73.670461,R,RAJASTHAN,Bikaner
10110.0,28.008746,73.288453,R,RAJASTHAN,Bikaner
10111.0,27.948776,73.55582,R,RAJASTHAN,Bikaner
10112.0,27.934466,73.97092,R,RAJASTHAN,Bikaner
10113.0,27.507178,72.874062,R,RAJASTHAN,Bikaner
10114.0,28.741617,73.78278,R,RAJASTHAN,Bikaner
10115.0,27.470092,73.321899,R,RAJASTHAN,Bikaner
10116.0,28.082714,73.317232,U,RAJASTHAN,Bikaner
10117.0,28.600627,72.544343,R,RAJASTHAN,Bikaner
10118.0,28.01927,73.311652,U,RAJASTHAN,Bikaner
10119.0,28.017965,73.296457,U,RAJASTHAN,Bikaner
10120.0,27.510304,73.204345,R,RAJASTHAN,Bikaner
10121.0,28.013407,73.337997,U,RAJASTHAN,Bikaner
10122.0,28.260395,73.066825,R,RAJASTHAN,Bikaner
10123.0,28.839868,72.623479,R,RAJASTHAN,Bikaner
10124.0,28.020364,73.322716,U,RAJASTHAN,Bikaner
10125.0,27.971581,72.619649,R,RAJASTHAN,Bikaner
10126.0,27.555965,73.462556,U,RAJASTHAN,Bikaner
10127.0,28.215241,73.289399,U,RAJASTHAN,Bikaner
10128.0,28.083086,73.991194,U,RAJASTHAN,Bikaner
10129.0,27.493976,73.070418,R,RAJASTHAN,Bikaner
10130.0,28.494638,73.767868,R,RAJASTHAN,Bikaner
10131.0,27.602861,73.454292,R,RAJASTHAN,Bikaner
10132.0,28.667598,73.179747,R,RAJASTHAN,Bikaner
10133.0,28.673835,72.689488,R,RAJASTHAN,Bikaner
10134.0,28.569607,73.518055,R,RAJASTHAN,Bikaner
10135.0,27.841883,72.695806,R,RAJASTHAN,Bikaner
10136.0,28.003655,73.308214,U,RAJASTHAN,Bikaner
