DHSCLUST,LATNUM,LONGNUM,URBAN_RURA,ADM1NAME,DHSREGNA,round,tv_name,pc11_s_id,pc11_d_id,pc11_sd_id,pc11_tv_id,gp_lgd_code,gp_name,n_gps_constrained,clean_gp_constrained,at_risk_gp_constrained,no_gp_constrained,gp_distribution,has_cluster_to_village,gp_lgd_code_existing,has_existing_village_to_gp,village_name_from_village_file,district_from_village_file,subdistrict_from_village_file,gp_lgd_code_from_village_file,gp_name_from_village_file,has_village_to_gp_from_village_file,gp_lgd_code_best,has_any_village_to_gp,has_gp_to_reservation_history,coverage_status,gp_lgd_code_lookup2,gp_name_lgd,district_lgd,subdistrict_lgd,gp_norm,district_norm,subdistrict_norm,target_gp_name,target_gp_norm,dhs_district_hist_norm,lgd_district_hist_norm,res_gp_norm,res_district_hist_norm,n_res_rows,n_samitis,res_samitis,n_dose_values,dose_values,reservation_dose_n_candidate,reservation_dose_candidate,reserved_women_2005_candidate,reserved_women_2010_candidate,has_direct_gpname_dhsdistrict_reservation,has_combined_reservation,newly_recovered_by_direct_match,orig_reserved_women_2005,orig_reserved_women_2010,orig_reservation_2005,orig_reservation_2010,orig_reservation_dose_n,orig_reservation_dose,orig_match_stage,orig_gp_name_lgd,orig_district_lgd,orig_subdistrict_lgd,has_original_gp_lgd_match,fuzzy_samiti_reservation_dose,fuzzy_samiti_reservation_dose_n,fuzzy_samiti_reserved_women_2005,fuzzy_samiti_reserved_women_2010,fuzzy_samiti_reservation_2005,fuzzy_samiti_reservation_2010,fuzzy_samiti_gp_similarity,fuzzy_samiti_similarity,fuzzy_samiti_match_category,fuzzy_samiti_res_gp_display,fuzzy_samiti_res_samiti_display,has_fuzzy_samiti_match,working_match_source,working_reservation_dose,working_reservation_dose_n,working_reserved_women_2005,working_reserved_women_2010,working_reservation_2005,working_reservation_2010
290002.0,24.4362782279,72.7004034585,R,RAJASTHAN,Sirohi,NFHS4,Wasda,8,117,595,90201,262675.0,Wasda,8,False,True,False,"{""262675"": 1.0}",True,262675,True,Wasda,Sirohi,Abu Road,262675,Wasda,True,262675,True,False,3_gp_no_reservation_history,262675,Wasda,Sirohi,Abu Road,wasda,sirohi,aburoad,Wasda,wasda,sirohi,sirohi,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
290005.0,25.1888711669,74.9741657951,R,RAJASTHAN,Bhilwara,NFHS4,Heengwaniya,8,122,637,96168,35832.0,Dhakar Kheri,12,False,True,False,"{""35832"": 1.0}",True,35832,True,Heengwaniya,Bhilwara,Mandalgarh,35832,Dhakar Kheri,True,35832,True,False,3_gp_no_reservation_history,35832,Dhakar Kheri,Bhilwara,Mandalgarh,dhakarkheri,bhilwara,mandalgarh,Dhakar Kheri,dhakarkheri,bhilwara,bhilwara,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,never,0.0,0.0,0.0,GEN,SC,0.9090909090909091,1.0,high_confidence_gp_and_exact_samiti,dhakarkhedi,MANDALGARH,True,3_fuzzy_gpname_exact_or_close_samiti_match,never,0.0,0.0,0.0,GEN,SC
290006.0,26.8639435252,74.8843163248,R,RAJASTHAN,Ajmer,NFHS4,Kotri,8,119,606,91393,33730.0,Kotri,6,False,True,False,"{""33730"": 1.0}",True,33730,True,Kotri,Ajmer,Roopangarh,33730,Kotri,True,33730,True,False,3_gp_no_reservation_history,33730,Kotri,Ajmer,Roopangarh,kotri,ajmer,roopangarh,Kotri,kotri,ajmer,ajmer,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
290009.0,27.6926153024,75.6109244395,R,RAJASTHAN,Sikar,NFHS4,Narsingh Puri,8,111,556,82174,41761.0,Narsingh Puri,8,False,True,False,"{""41761"": 1.0}",True,41761,True,Narsingh Puri,Neem Ka Thana,Neem Ka Thana,41761,Narsingh Puri,True,41761,True,True,4_full_coverage,41761,Narsingh Puri,Neem Ka Thana,Neem Ka Thana,narsinghpuri,neemkathana,neemkathana,Narsingh Puri,narsinghpuri,sikar,sikar,narsinghpuri,sikar,1.0,1.0,neemkathana,1.0,once,1.0,once,1.0,0.0,True,True,False,1.0,0.0,GEN W,OBC,1.0,once,C_unique_gp_name_statewide,Narsingh Puri,Neem Ka Thana,Neem Ka Thana,True,,,,,,,,,,,,False,1_original_gp_lgd_history_match,once,1.0,1.0,0.0,GEN W,OBC
290010.0,29.3260366824,74.5025388288,R,RAJASTHAN,Hanumangarh,NFHS4,12 AG,8,100,467,67521,38091.0,Mirjewali Mer,6,False,True,False,"{""38091"": 1.0}",True,38091,True,12 Ag,Hanumangarh,Tibbi,38091,Mirjewali Mer,True,38091,True,False,3_gp_no_reservation_history,38091,Mirjewali Mer,Hanumangarh,Tibbi,mirjewalimer,hanumangarh,tibbi,Mirjewali Mer,mirjewalimer,hanumangarh,hanumangarh,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
290011.0,28.1850096689,75.5199643283,R,RAJASTHAN,Jhunjhunun,NFHS4,Khudana,8,103,488,71191,39408.0,Khudana,10,False,True,False,"{""39408"": 1.0}",True,39408,True,Khudana,Jhunjhunu,Chirawa,39408,Khudana,True,39408,True,False,3_gp_no_reservation_history,39408,Khudana,Jhunjhunu,Chirawa,khudana,jhunjhunu,chirawa,Khudana,khudana,jhunjhunu,jhunjhunu,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,once,1.0,1.0,0.0,GEN W,GEN,1.0,1.0,high_confidence_gp_and_exact_samiti,khudana,CHIRAWA,True,3_fuzzy_gpname_exact_or_close_samiti_match,once,1.0,1.0,0.0,GEN W,GEN
290012.0,25.7824153321,75.621022064,R,RAJASTHAN,Tonk,NFHS4,Anwa,8,120,620,93374,41999.0,Anwa,8,False,True,False,"{""41999"": 1.0}",True,41999,True,Anwa,Tonk,Dooni,41999,Anwa,True,41999,True,False,3_gp_no_reservation_history,41999,Anwa,Tonk,Dooni,anwa,tonk,dooni,Anwa,anwa,tonk,tonk,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
290013.0,27.24994016,74.774895697,R,RAJASTHAN,Nagaur,NFHS4,Nimod,8,112,558,82632,40420.0,Nimod,10,False,True,False,"{""40420"": 1.0}",True,40420,True,Nimod,Didwana-Kuchaman,Maulasar,40420,Nimod,True,40420,True,False,3_gp_no_reservation_history,40420,Nimod,Didwana-Kuchaman,Maulasar,nimod,didwanakuchaman,maulasar,Nimod,nimod,nagaur,nagaur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
290017.0,23.1868286066,74.1630565623,R,RAJASTHAN,Banswara,NFHS4,Sallo Pat,8,125,653,99533,34395.0,Sallopat,13,False,True,False,"{""34395"": 1.0}",True,34395,True,Sallo Pat,Banswara,Gangadtalai,34395,Sallopat,True,34395,True,True,4_full_coverage,34395,Sallopat,Banswara,Gangadtalai,sallopat,banswara,gangadtalai,Sallopat,sallopat,banswara,banswara,sallopat,banswara,1.0,1.0,bagidora,1.0,twice,2.0,twice,1.0,1.0,True,True,False,1.0,1.0,ST W,STW,2.0,twice,B_exact_gp_district,Sallopat,Banswara,Gangadtalai,True,,,,,,,,,,,,False,1_original_gp_lgd_history_match,twice,2.0,1.0,1.0,ST W,STW
290018.0,25.9966235569,76.741629006,R,RAJASTHAN,Sawai Madhopur,NFHS4,Rodawad,8,108,532,77813,41468.0,Rodawad,7,False,True,False,"{""41468"": 1.0}",True,41468,True,Rodawad,Sawai Madhopur,Khandar,41468,Rodawad,True,41468,True,False,3_gp_no_reservation_history,41468,Rodawad,Sawai Madhopur,Khandar,rodawad,sawaimadhopur,khandar,Rodawad,rodawad,sawaimadhopur,sawaimadhopur,,,,,,,,,,,,False,False,False,,,,,,,,,,,False,,,,,,,,,,,,False,0_unmatched,,,,,,
