DHSCLUST,URBAN_RURA,DHSREGNA,round,displacement_R_m,primary_gp,primary_gp_prob,n_gps_hit,n_outside_any_gp,gp_distribution
9902.0,R,Ganganagar,NFHS5,5000,37864.0,0.45,7,154,"{37864.0: 450, 37885.0: 117, 37867.0: 108, 37891.0: 83, 37879.0: 42, 37890.0: 38, 37860.0: 8}"
9903.0,R,Ganganagar,NFHS5,5000,37681.0,0.46,12,94,"{37681.0: 460, 37683.0: 160, 37663.0: 131, 37684.0: 48, 37950.0: 37, 37718.0: 24, 37651.0: 15, 262682.0: 13, 37654.0: 9, 262893.0: 5, 37703.0: 3, 37948.0: 1}"
9905.0,R,Ganganagar,NFHS5,5000,37699.0,0.389,7,0,"{37699.0: 389, 37695.0: 212, 37693.0: 196, 37728.0: 143, 37668.0: 26, 37661.0: 26, 37694.0: 8}"
9906.0,R,Ganganagar,NFHS5,5000,37745.0,0.411,11,79,"{37745.0: 411, 37768.0: 109, 37764.0: 105, 37733.0: 76, 37765.0: 67, 37743.0: 55, 37736.0: 34, 37767.0: 30, 37741.0: 19, 37773.0: 8, 294628.0: 7}"
9907.0,R,Ganganagar,NFHS5,5000,37733.0,0.292,15,88,"{37733.0: 292, 37773.0: 156, 294628.0: 142, 37745.0: 138, 37743.0: 75, 37736.0: 37, 37768.0: 22, 262736.0: 18, 37767.0: 11, 37765.0: 7, 262730.0: 6, 37742.0: 4, 37752.0: 2, 37772.0: 1, 37741.0: 1}"
9908.0,R,Ganganagar,NFHS5,5000,37835.0,0.396,8,0,"{37835.0: 396, 37834.0: 210, 37830.0: 142, 37843.0: 120, 38070.0: 70, 37841.0: 28, 37894.0: 18, 37837.0: 16}"
9909.0,R,Ganganagar,NFHS5,5000,37943.0,0.269,6,11,"{37943.0: 269, 262894.0: 244, 37952.0: 224, 37933.0: 216, 37963.0: 33, 37961.0: 3}"
9910.0,R,Ganganagar,NFHS5,5000,37755.0,0.383,9,204,"{37755.0: 383, 37823.0: 172, 37791.0: 96, 37735.0: 52, 37827.0: 42, 37838.0: 33, 37784.0: 11, 37738.0: 4, 37788.0: 3}"
9911.0,R,Ganganagar,NFHS5,5000,37757.0,0.327,9,85,"{37757.0: 327, 37775.0: 243, 37756.0: 110, 37761.0: 108, 37758.0: 79, 37751.0: 17, 37769.0: 13, 37767.0: 12, 37741.0: 6}"
9912.0,R,Ganganagar,NFHS5,5000,37726.0,0.433,5,3,"{37726.0: 433, 37645.0: 270, 37689.0: 201, 37727.0: 74, 37717.0: 19}"
9913.0,R,Ganganagar,NFHS5,5000,37694.0,0.37,8,15,"{37694.0: 370, 37693.0: 307, 37728.0: 209, 37696.0: 36, 37683.0: 29, 37699.0: 27, 37684.0: 6, 37661.0: 1}"
9914.0,R,Ganganagar,NFHS5,5000,262682.0,0.254,6,85,"{262682.0: 254, 37934.0: 210, 37943.0: 190, 295089.0: 118, 295091.0: 96, 37949.0: 47}"
9915.0,R,Ganganagar,NFHS5,5000,37725.0,0.324,7,0,"{37725.0: 324, 37650.0: 234, 37698.0: 201, 37721.0: 125, 37685.0: 101, 37691.0: 9, 37675.0: 6}"
9917.0,R,Ganganagar,NFHS5,5000,37760.0,0.377,14,58,"{37760.0: 377, 37734.0: 216, 294635.0: 118, 37901.0: 104, 37737.0: 32, 37904.0: 28, 37754.0: 18, 37899.0: 12, 37743.0: 12, 262730.0: 11, 37742.0: 5, 37770.0: 5, 37766.0: 2, 37898.0: 2}"
9919.0,R,Ganganagar,NFHS5,5000,37658.0,0.374,8,22,"{37658.0: 374, 37655.0: 238, 37665.0: 132, 262414.0: 118, 37669.0: 58, 37680.0: 30, 294631.0: 22, 37652.0: 6}"
9920.0,R,Ganganagar,NFHS5,5000,37750.0,0.26,6,421,"{37750.0: 260, 37774.0: 200, 37746.0: 42, 37769.0: 42, 37764.0: 21, 37758.0: 14}"
9922.0,R,Ganganagar,NFHS5,5000,37690.0,0.5,9,75,"{37690.0: 500, 37722.0: 176, 37865.0: 128, 37702.0: 59, 37703.0: 54, 37686.0: 3, 37857.0: 2, 37879.0: 2, 37710.0: 1}"
9923.0,R,Ganganagar,NFHS5,5000,37744.0,0.363,11,40,"{37744.0: 363, 37747.0: 274, 37772.0: 128, 37748.0: 50, 37776.0: 49, 37738.0: 33, 37749.0: 26, 37752.0: 19, 37740.0: 16, 37895.0: 1, 294628.0: 1}"
9924.0,R,Ganganagar,NFHS5,5000,38055.0,0.465,6,0,"{38055.0: 465, 38128.0: 275, 294675.0: 137, 38076.0: 58, 38070.0: 52, 38066.0: 13}"
9925.0,R,Ganganagar,NFHS5,5000,37933.0,0.666,6,0,"{37933.0: 666, 37961.0: 153, 37943.0: 97, 37963.0: 60, 37952.0: 19, 262894.0: 5}"
9929.0,R,Ganganagar,NFHS5,5000,37921.0,0.284,7,105,"{37921.0: 284, 38111.0: 283, 37896.0: 220, 38072.0: 60, 37909.0: 19, 38084.0: 15, 38058.0: 14}"
9930.0,R,Ganganagar,NFHS5,5000,37768.0,0.314,5,301,"{37768.0: 314, 37739.0: 237, 37759.0: 80, 37753.0: 49, 37767.0: 19}"
