DHSCLUST,total_villages,villages_with_gp,gp_coverage_rate
290002.0,14,14,1.0
290003.0,6,6,1.0
290004.0,15,15,1.0
290005.0,23,23,1.0
290006.0,13,13,1.0
290009.0,16,16,1.0
290010.0,38,38,1.0
290011.0,20,20,1.0
290012.0,17,17,1.0
290013.0,14,14,1.0
290017.0,36,36,1.0
290018.0,25,25,1.0
290022.0,32,32,1.0
290024.0,27,27,1.0
290025.0,7,7,1.0
290026.0,28,28,1.0
290028.0,22,22,1.0
290029.0,4,4,1.0
290030.0,30,30,1.0
290031.0,25,25,1.0
290032.0,0,0,
290033.0,38,38,1.0
290034.0,25,25,1.0
290035.0,38,38,1.0
290036.0,21,21,1.0
290037.0,22,22,1.0
290039.0,9,9,1.0
290045.0,10,10,1.0
290046.0,10,10,1.0
290047.0,20,20,1.0
290048.0,30,30,1.0
290049.0,30,30,1.0
290050.0,20,20,1.0
290052.0,28,28,1.0
290054.0,12,12,1.0
290055.0,42,42,1.0
290056.0,7,7,1.0
290058.0,21,21,1.0
290061.0,26,26,1.0
290062.0,33,33,1.0
290065.0,8,8,1.0
290066.0,21,21,1.0
290067.0,11,11,1.0
290068.0,10,10,1.0
290069.0,3,3,1.0
290070.0,29,29,1.0
290071.0,18,18,1.0
290072.0,19,19,1.0
290073.0,7,7,1.0
290075.0,29,29,1.0
290077.0,14,14,1.0
290079.0,48,48,1.0
290080.0,8,8,1.0
290081.0,7,7,1.0
290083.0,35,35,1.0
290084.0,20,20,1.0
290086.0,22,22,1.0
290087.0,32,32,1.0
290088.0,32,32,1.0
290089.0,31,31,1.0
290090.0,43,43,1.0
290091.0,9,9,1.0
290092.0,37,37,1.0
290093.0,28,28,1.0
290094.0,16,16,1.0
290096.0,27,27,1.0
290098.0,30,30,1.0
290100.0,27,27,1.0
290102.0,20,20,1.0
290103.0,8,8,1.0
290105.0,30,30,1.0
290106.0,29,29,1.0
290107.0,9,9,1.0
290108.0,18,18,1.0
290110.0,30,30,1.0
290111.0,34,34,1.0
290112.0,27,27,1.0
290113.0,37,37,1.0
290115.0,30,30,1.0
290116.0,45,45,1.0
290117.0,36,36,1.0
290118.0,14,14,1.0
290119.0,15,15,1.0
290120.0,14,14,1.0
290121.0,8,8,1.0
290122.0,38,38,1.0
290124.0,13,13,1.0
290125.0,14,14,1.0
290127.0,22,22,1.0
290128.0,4,4,1.0
290130.0,29,29,1.0
290131.0,19,19,1.0
290132.0,10,10,1.0
290133.0,22,22,1.0
290135.0,12,12,1.0
290136.0,28,28,1.0
290137.0,23,23,1.0
290138.0,14,14,1.0
290141.0,7,7,1.0
290143.0,7,7,1.0
290144.0,25,25,1.0
290145.0,4,4,1.0
290146.0,14,14,1.0
290148.0,52,52,1.0
290149.0,14,14,1.0
290150.0,22,22,1.0
290151.0,20,20,1.0
290152.0,39,39,1.0
290154.0,24,24,1.0
290155.0,22,22,1.0
290160.0,19,19,1.0
290161.0,22,22,1.0
290162.0,23,23,1.0
290163.0,28,28,1.0
290165.0,12,12,1.0
290167.0,21,21,1.0
290168.0,5,5,1.0
290169.0,38,38,1.0
290170.0,18,18,1.0
290171.0,7,7,1.0
290172.0,23,23,1.0
290173.0,29,29,1.0
290175.0,13,13,1.0
290176.0,16,16,1.0
290177.0,35,35,1.0
290178.0,15,15,1.0
290179.0,15,15,1.0
290181.0,31,31,1.0
290182.0,44,44,1.0
290183.0,20,20,1.0
290184.0,9,9,1.0
290192.0,21,21,1.0
290194.0,20,20,1.0
290196.0,14,14,1.0
290197.0,24,24,1.0
290198.0,14,14,1.0
290199.0,25,25,1.0
290200.0,26,26,1.0
290201.0,15,15,1.0
290202.0,18,18,1.0
290204.0,12,12,1.0
290205.0,26,26,1.0
290206.0,37,37,1.0
290207.0,10,10,1.0
290210.0,31,31,1.0
290211.0,29,29,1.0
290213.0,25,25,1.0
290215.0,29,29,1.0
290217.0,11,11,1.0
290219.0,38,38,1.0
290220.0,40,40,1.0
290222.0,3,3,1.0
290224.0,9,9,1.0
290225.0,10,10,1.0
290227.0,9,9,1.0
290228.0,18,18,1.0
290229.0,31,31,1.0
290232.0,34,34,1.0
290233.0,22,22,1.0
290234.0,11,11,1.0
290235.0,14,14,1.0
290236.0,26,26,1.0
290237.0,39,39,1.0
290239.0,32,32,1.0
290240.0,5,5,1.0
290241.0,36,36,1.0
290245.0,17,17,1.0
290246.0,18,18,1.0
290247.0,15,15,1.0
290248.0,31,31,1.0
290250.0,47,47,1.0
290251.0,22,22,1.0
290253.0,23,23,1.0
290254.0,19,19,1.0
290255.0,20,20,1.0
290256.0,12,12,1.0
290259.0,29,29,1.0
290260.0,17,17,1.0
290262.0,21,21,1.0
290263.0,29,29,1.0
290264.0,9,9,1.0
290265.0,34,34,1.0
290266.0,13,13,1.0
290267.0,21,21,1.0
290268.0,15,15,1.0
290269.0,33,33,1.0
290273.0,17,17,1.0
290278.0,18,18,1.0
290279.0,15,15,1.0
290280.0,22,22,1.0
290282.0,30,30,1.0
290283.0,26,26,1.0
290284.0,6,6,1.0
290285.0,19,19,1.0
290287.0,3,3,1.0
290288.0,7,7,1.0
290290.0,44,44,1.0
290291.0,29,29,1.0
290292.0,22,22,1.0
290295.0,10,10,1.0
290298.0,16,16,1.0
290300.0,32,32,1.0
290301.0,35,35,1.0
290303.0,46,46,1.0
290304.0,28,28,1.0
290305.0,32,32,1.0
290306.0,15,15,1.0
290307.0,39,39,1.0
290309.0,12,12,1.0
290313.0,6,6,1.0
290315.0,24,24,1.0
290316.0,41,41,1.0
290318.0,24,24,1.0
290319.0,8,8,1.0
290320.0,25,25,1.0
290322.0,33,33,1.0
290326.0,37,37,1.0
290327.0,23,23,1.0
290329.0,29,29,1.0
290330.0,27,27,1.0
290331.0,52,52,1.0
290332.0,10,10,1.0
290333.0,21,21,1.0
290335.0,15,15,1.0
290336.0,20,20,1.0
290337.0,27,27,1.0
290338.0,20,20,1.0
290341.0,25,25,1.0
290342.0,15,15,1.0
290343.0,42,42,1.0
290344.0,17,17,1.0
290345.0,26,26,1.0
290346.0,29,29,1.0
290348.0,17,17,1.0
290349.0,25,25,1.0
290351.0,39,39,1.0
290353.0,11,11,1.0
290355.0,25,25,1.0
290359.0,37,37,1.0
290360.0,2,2,1.0
290362.0,20,20,1.0
290363.0,10,10,1.0
290364.0,19,19,1.0
290365.0,22,22,1.0
290366.0,12,12,1.0
290367.0,30,30,1.0
290368.0,22,22,1.0
290369.0,50,50,1.0
290370.0,53,53,1.0
290374.0,18,18,1.0
290375.0,16,16,1.0
290376.0,8,8,1.0
290380.0,48,48,1.0
290382.0,31,31,1.0
290383.0,13,13,1.0
290385.0,2,2,1.0
290389.0,19,19,1.0
290391.0,23,23,1.0
290392.0,9,9,1.0
290394.0,25,25,1.0
290395.0,12,12,1.0
290396.0,18,18,1.0
290399.0,29,29,1.0
290402.0,27,27,1.0
290404.0,26,26,1.0
290407.0,37,37,1.0
290409.0,10,10,1.0
290411.0,37,37,1.0
290412.0,46,46,1.0
290413.0,12,12,1.0
290415.0,36,36,1.0
290416.0,25,25,1.0
290421.0,11,11,1.0
290422.0,20,20,1.0
290423.0,20,20,1.0
290425.0,22,22,1.0
290428.0,16,16,1.0
290429.0,32,32,1.0
290431.0,16,16,1.0
290433.0,32,32,1.0
290434.0,21,21,1.0
290436.0,18,18,1.0
290437.0,8,8,1.0
290438.0,29,29,1.0
290440.0,14,14,1.0
290442.0,32,32,1.0
290443.0,38,38,1.0
290444.0,24,24,1.0
290446.0,9,9,1.0
290447.0,24,24,1.0
290448.0,40,40,1.0
290450.0,30,30,1.0
290451.0,9,9,1.0
290452.0,44,44,1.0
290455.0,38,38,1.0
290456.0,18,18,1.0
290457.0,32,32,1.0
290458.0,15,15,1.0
290460.0,8,8,1.0
290461.0,22,22,1.0
290462.0,19,19,1.0
290463.0,15,15,1.0
290465.0,33,33,1.0
290466.0,31,31,1.0
290468.0,17,17,1.0
290469.0,14,14,1.0
290472.0,11,11,1.0
290473.0,21,21,1.0
290475.0,25,25,1.0
290476.0,13,13,1.0
290477.0,6,6,1.0
290478.0,6,6,1.0
290480.0,13,13,1.0
290481.0,16,16,1.0
290483.0,10,10,1.0
290484.0,12,12,1.0
290485.0,18,18,1.0
290487.0,21,21,1.0
290490.0,15,15,1.0
290491.0,27,27,1.0
290492.0,6,6,1.0
290494.0,15,15,1.0
290495.0,52,52,1.0
290496.0,11,11,1.0
290497.0,25,25,1.0
290498.0,8,8,1.0
290501.0,10,10,1.0
290502.0,27,27,1.0
290504.0,24,24,1.0
290506.0,41,41,1.0
290507.0,17,17,1.0
290508.0,15,15,1.0
290509.0,27,27,1.0
290510.0,9,9,1.0
290511.0,26,26,1.0
290512.0,29,29,1.0
290514.0,9,9,1.0
290515.0,21,21,1.0
290518.0,23,23,1.0
290519.0,31,31,1.0
290520.0,26,26,1.0
290521.0,22,22,1.0
290522.0,19,19,1.0
290523.0,15,15,1.0
290524.0,16,16,1.0
290527.0,44,44,1.0
290528.0,27,27,1.0
290532.0,14,14,1.0
290533.0,3,3,1.0
290538.0,12,12,1.0
290539.0,25,25,1.0
290540.0,32,32,1.0
290542.0,7,7,1.0
290543.0,7,7,1.0
290544.0,13,13,1.0
290548.0,19,19,1.0
290549.0,15,15,1.0
290550.0,22,22,1.0
290551.0,25,25,1.0
290552.0,28,28,1.0
290553.0,20,20,1.0
290555.0,16,16,1.0
290556.0,20,20,1.0
290557.0,18,18,1.0
290558.0,39,39,1.0
290560.0,4,4,1.0
290561.0,28,28,1.0
290563.0,16,16,1.0
290564.0,8,8,1.0
290567.0,47,47,1.0
290569.0,30,30,1.0
290570.0,34,34,1.0
290573.0,5,5,1.0
290574.0,39,39,1.0
290575.0,17,17,1.0
290576.0,30,30,1.0
290577.0,18,18,1.0
290578.0,16,16,1.0
290579.0,17,17,1.0
290580.0,12,12,1.0
290585.0,22,22,1.0
290586.0,19,19,1.0
290588.0,32,32,1.0
290589.0,27,27,1.0
290590.0,51,51,1.0
290591.0,14,14,1.0
290594.0,7,7,1.0
290596.0,22,22,1.0
290597.0,16,16,1.0
290598.0,29,29,1.0
290599.0,7,7,1.0
290600.0,20,20,1.0
290601.0,26,26,1.0
290602.0,50,50,1.0
290603.0,19,19,1.0
290604.0,2,2,1.0
290605.0,17,17,1.0
290606.0,33,33,1.0
290607.0,15,15,1.0
290609.0,21,21,1.0
290610.0,3,3,1.0
290611.0,21,21,1.0
290613.0,20,20,1.0
290616.0,19,19,1.0
290618.0,18,18,1.0
290619.0,27,27,1.0
290620.0,48,48,1.0
290621.0,18,18,1.0
290622.0,29,29,1.0
290623.0,31,31,1.0
290624.0,10,10,1.0
290626.0,18,18,1.0
290627.0,37,37,1.0
290628.0,22,22,1.0
290630.0,28,28,1.0
290631.0,20,20,1.0
290632.0,30,30,1.0
290633.0,30,30,1.0
290634.0,13,13,1.0
290636.0,17,17,1.0
290638.0,21,21,1.0
290639.0,36,36,1.0
290641.0,24,24,1.0
290646.0,8,8,1.0
290652.0,24,24,1.0
290653.0,20,20,1.0
290655.0,39,39,1.0
290657.0,29,29,1.0
290658.0,15,15,1.0
290659.0,32,32,1.0
290660.0,12,12,1.0
290661.0,35,35,1.0
290663.0,18,18,1.0
290664.0,21,21,1.0
290665.0,8,8,1.0
290666.0,30,30,1.0
290668.0,56,56,1.0
290670.0,3,3,1.0
290673.0,6,6,1.0
290674.0,33,33,1.0
290676.0,7,7,1.0
290678.0,36,36,1.0
290679.0,32,32,1.0
290681.0,44,44,1.0
290684.0,26,26,1.0
290685.0,27,27,1.0
290686.0,18,18,1.0
290689.0,3,3,1.0
290690.0,30,30,1.0
290691.0,26,26,1.0
290692.0,20,20,1.0
290694.0,25,25,1.0
290695.0,18,18,1.0
290697.0,60,60,1.0
290698.0,19,19,1.0
290699.0,12,12,1.0
290700.0,14,14,1.0
290702.0,24,24,1.0
290703.0,15,15,1.0
290704.0,43,43,1.0
290705.0,20,20,1.0
290707.0,19,19,1.0
290708.0,30,30,1.0
290709.0,8,8,1.0
290710.0,44,44,1.0
290713.0,54,54,1.0
290715.0,25,25,1.0
290716.0,8,8,1.0
290717.0,5,5,1.0
290719.0,23,23,1.0
290720.0,20,20,1.0
290721.0,9,9,1.0
290722.0,28,28,1.0
290725.0,28,28,1.0
290727.0,16,16,1.0
290728.0,20,20,1.0
290730.0,9,9,1.0
290731.0,30,30,1.0
290732.0,15,15,1.0
290733.0,18,18,1.0
290735.0,60,60,1.0
290737.0,10,10,1.0
290739.0,40,40,1.0
290740.0,20,20,1.0
290743.0,15,15,1.0
290747.0,7,7,1.0
290749.0,45,45,1.0
290750.0,14,14,1.0
290752.0,26,26,1.0
290757.0,17,17,1.0
290758.0,12,12,1.0
290759.0,14,14,1.0
290761.0,25,25,1.0
290763.0,15,15,1.0
290764.0,8,8,1.0
290765.0,31,31,1.0
290766.0,29,29,1.0
290767.0,15,15,1.0
290769.0,19,19,1.0
290770.0,4,4,1.0
290771.0,8,8,1.0
290773.0,21,21,1.0
290774.0,8,8,1.0
290775.0,17,17,1.0
290776.0,24,24,1.0
290778.0,15,15,1.0
290780.0,38,38,1.0
290784.0,21,21,1.0
290785.0,15,15,1.0
290786.0,39,39,1.0
290787.0,14,14,1.0
290788.0,33,33,1.0
290789.0,19,19,1.0
290790.0,20,20,1.0
290793.0,18,18,1.0
290794.0,10,10,1.0
290795.0,7,7,1.0
290797.0,41,41,1.0
290798.0,15,15,1.0
290801.0,14,14,1.0
290803.0,20,20,1.0
290804.0,13,13,1.0
290806.0,7,7,1.0
290807.0,13,13,1.0
290808.0,35,35,1.0
290809.0,30,30,1.0
290810.0,7,7,1.0
290811.0,27,27,1.0
290812.0,12,12,1.0
290813.0,26,26,1.0
290816.0,10,10,1.0
290817.0,27,27,1.0
290818.0,26,26,1.0
290819.0,39,39,1.0
290821.0,20,20,1.0
290822.0,29,29,1.0
290823.0,24,24,1.0
290824.0,15,15,1.0
290825.0,21,21,1.0
290828.0,15,15,1.0
290830.0,10,10,1.0
290831.0,24,24,1.0
290832.0,5,5,1.0
290833.0,24,24,1.0
290834.0,35,35,1.0
290837.0,11,11,1.0
290840.0,24,24,1.0
290843.0,39,39,1.0
290845.0,34,34,1.0
290847.0,13,13,1.0
290848.0,22,22,1.0
290849.0,18,18,1.0
290851.0,18,18,1.0
290852.0,11,11,1.0
290853.0,39,39,1.0
290855.0,15,15,1.0
290856.0,17,17,1.0
290857.0,15,15,1.0
290858.0,29,29,1.0
290860.0,17,17,1.0
290861.0,39,39,1.0
290862.0,37,37,1.0
290863.0,29,29,1.0
290864.0,27,27,1.0
290865.0,23,23,1.0
290866.0,41,41,1.0
290867.0,37,37,1.0
290868.0,32,32,1.0
290870.0,14,14,1.0
290872.0,14,14,1.0
290873.0,29,29,1.0
290875.0,6,6,1.0
290876.0,32,32,1.0
290877.0,18,18,1.0
290878.0,40,40,1.0
290880.0,32,32,1.0
290882.0,6,6,1.0
290883.0,12,12,1.0
290884.0,15,15,1.0
290886.0,16,16,1.0
290887.0,33,33,1.0
290890.0,7,7,1.0
290892.0,31,31,1.0
290893.0,27,27,1.0
290894.0,9,9,1.0
290895.0,20,20,1.0
290896.0,17,17,1.0
290900.0,17,17,1.0
290901.0,17,17,1.0
290902.0,5,5,1.0
290903.0,4,4,1.0
290905.0,27,27,1.0
290906.0,20,20,1.0
290907.0,22,22,1.0
290908.0,26,26,1.0
290911.0,22,22,1.0
290912.0,15,15,1.0
290913.0,13,13,1.0
290914.0,4,4,1.0
290915.0,31,31,1.0
290918.0,24,24,1.0
290919.0,28,28,1.0
290921.0,22,22,1.0
290923.0,21,21,1.0
290924.0,18,18,1.0
290925.0,42,42,1.0
290926.0,21,21,1.0
290927.0,14,14,1.0
290928.0,46,46,1.0
290930.0,14,14,1.0
290931.0,10,10,1.0
290932.0,23,23,1.0
290933.0,23,23,1.0
290934.0,26,26,1.0
290935.0,9,9,1.0
290937.0,23,23,1.0
290938.0,48,48,1.0
290939.0,20,20,1.0
290940.0,21,21,1.0
290941.0,24,24,1.0
290942.0,11,11,1.0
290943.0,49,49,1.0
290945.0,27,27,1.0
290946.0,10,10,1.0
290947.0,13,13,1.0
290949.0,18,18,1.0
290950.0,17,17,1.0
290952.0,14,14,1.0
290953.0,22,22,1.0
290954.0,14,14,1.0
290955.0,16,16,1.0
290956.0,14,14,1.0
290958.0,7,7,1.0
290959.0,34,34,1.0
290960.0,9,9,1.0
290961.0,19,19,1.0
290963.0,36,36,1.0
290964.0,22,22,1.0
290966.0,11,11,1.0
290968.0,20,20,1.0
290969.0,11,11,1.0
290970.0,31,31,1.0
290972.0,12,12,1.0
290974.0,27,27,1.0
290975.0,25,25,1.0
290977.0,37,37,1.0
290978.0,10,10,1.0
290979.0,20,20,1.0
290980.0,30,30,1.0
290981.0,51,51,1.0
290982.0,19,19,1.0
290983.0,11,11,1.0
290984.0,13,13,1.0
290985.0,25,25,1.0
290986.0,22,22,1.0
290987.0,17,17,1.0
290989.0,32,32,1.0
290990.0,17,17,1.0
290991.0,31,31,1.0
290993.0,18,18,1.0
290994.0,27,27,1.0
290995.0,29,29,1.0
290996.0,11,11,1.0
290997.0,24,24,1.0
291000.0,9,9,1.0
291001.0,17,17,1.0
291002.0,6,6,1.0
291003.0,10,10,1.0
291005.0,23,23,1.0
291006.0,21,21,1.0
291008.0,14,14,1.0
291009.0,39,39,1.0
291010.0,25,25,1.0
291012.0,30,30,1.0
291014.0,16,16,1.0
291015.0,18,18,1.0
291016.0,10,10,1.0
291017.0,2,2,1.0
291018.0,12,12,1.0
291020.0,17,17,1.0
291021.0,10,10,1.0
291022.0,19,19,1.0
291023.0,22,22,1.0
291024.0,15,15,1.0
291025.0,18,18,1.0
291027.0,18,18,1.0
291029.0,18,18,1.0
291030.0,13,13,1.0
291032.0,26,26,1.0
291033.0,13,13,1.0
291034.0,6,6,1.0
291036.0,9,9,1.0
291037.0,25,25,1.0
291038.0,30,30,1.0
291039.0,19,19,1.0
291040.0,27,27,1.0
291042.0,15,15,1.0
291043.0,54,54,1.0
291044.0,13,13,1.0
291046.0,38,38,1.0
291051.0,19,19,1.0
291052.0,20,20,1.0
291053.0,33,33,1.0
291054.0,17,17,1.0
291055.0,11,11,1.0
291056.0,11,11,1.0
291058.0,10,10,1.0
291059.0,13,13,1.0
291060.0,22,22,1.0
291061.0,26,26,1.0
291062.0,26,26,1.0
291063.0,40,40,1.0
291064.0,10,10,1.0
291065.0,23,23,1.0
291066.0,39,39,1.0
291067.0,12,12,1.0
291069.0,33,33,1.0
291070.0,5,5,1.0
291071.0,13,13,1.0
291072.0,26,26,1.0
291073.0,25,25,1.0
291074.0,28,28,1.0
291075.0,17,17,1.0
291076.0,28,28,1.0
291077.0,34,34,1.0
291078.0,16,16,1.0
291079.0,26,26,1.0
291080.0,23,23,1.0
291082.0,9,9,1.0
291084.0,35,35,1.0
291085.0,29,29,1.0
291086.0,5,5,1.0
291088.0,18,18,1.0
291090.0,6,6,1.0
291092.0,19,19,1.0
291094.0,22,22,1.0
291096.0,31,31,1.0
291097.0,32,32,1.0
291098.0,21,21,1.0
291101.0,8,8,1.0
291102.0,4,4,1.0
291103.0,3,3,1.0
291105.0,48,48,1.0
291107.0,24,24,1.0
291108.0,23,23,1.0
291109.0,12,12,1.0
291111.0,10,10,1.0
291112.0,44,44,1.0
291115.0,24,24,1.0
291116.0,4,4,1.0
291118.0,36,36,1.0
291119.0,38,38,1.0
291120.0,4,4,1.0
291122.0,10,10,1.0
291123.0,10,10,1.0
291125.0,31,31,1.0
291126.0,13,13,1.0
291127.0,26,26,1.0
291128.0,22,22,1.0
291131.0,38,38,1.0
291135.0,24,24,1.0
291136.0,10,10,1.0
291137.0,26,26,1.0
291138.0,17,17,1.0
291140.0,26,26,1.0
291141.0,15,15,1.0
291142.0,10,10,1.0
291143.0,24,24,1.0
291144.0,53,53,1.0
291149.0,24,24,1.0
291150.0,6,6,1.0
291151.0,20,20,1.0
291152.0,6,6,1.0
291154.0,12,12,1.0
291155.0,25,25,1.0
291156.0,4,4,1.0
291157.0,19,19,1.0
291159.0,23,23,1.0
291160.0,7,7,1.0
291161.0,24,24,1.0
291162.0,36,36,1.0
291163.0,20,20,1.0
291164.0,30,30,1.0
291165.0,30,30,1.0
291166.0,11,11,1.0
291167.0,26,26,1.0
291169.0,17,17,1.0
291170.0,26,26,1.0
291171.0,22,22,1.0
291172.0,15,15,1.0
291174.0,45,45,1.0
291175.0,18,18,1.0
291176.0,7,7,1.0
291177.0,6,6,1.0
291178.0,14,14,1.0
291179.0,45,45,1.0
291180.0,20,20,1.0
291181.0,7,7,1.0
291182.0,8,8,1.0
291183.0,9,9,1.0
291185.0,24,24,1.0
291186.0,7,7,1.0
291187.0,19,19,1.0
291190.0,15,15,1.0
291192.0,14,14,1.0
291194.0,13,13,1.0
291196.0,23,23,1.0
291197.0,18,18,1.0
291198.0,15,15,1.0
291199.0,24,24,1.0
291200.0,12,12,1.0
291206.0,17,17,1.0
291207.0,19,19,1.0
291209.0,9,9,1.0
291210.0,11,11,1.0
291211.0,43,43,1.0
291212.0,20,20,1.0
291215.0,29,29,1.0
291216.0,29,29,1.0
291217.0,31,31,1.0
291218.0,33,33,1.0
291219.0,15,15,1.0
291221.0,11,11,1.0
291222.0,9,9,1.0
291223.0,28,28,1.0
291224.0,35,35,1.0
291225.0,38,38,1.0
291226.0,21,21,1.0
291229.0,54,54,1.0
291230.0,42,42,1.0
291231.0,15,15,1.0
291232.0,12,12,1.0
291233.0,49,49,1.0
291234.0,26,26,1.0
291237.0,22,22,1.0
291238.0,41,41,1.0
291241.0,27,27,1.0
291242.0,14,14,1.0
291243.0,17,17,1.0
291245.0,26,26,1.0
291246.0,20,20,1.0
291247.0,17,17,1.0
291249.0,11,11,1.0
291252.0,35,35,1.0
291253.0,12,12,1.0
291254.0,18,18,1.0
291256.0,20,20,1.0
291257.0,39,39,1.0
291259.0,31,31,1.0
291263.0,23,23,1.0
291264.0,16,16,1.0
291265.0,11,11,1.0
291266.0,17,17,1.0
291268.0,10,10,1.0
291269.0,17,17,1.0
291270.0,24,24,1.0
291272.0,18,18,1.0
291273.0,20,20,1.0
291274.0,21,21,1.0
291278.0,32,32,1.0
291279.0,15,15,1.0
291280.0,17,17,1.0
291282.0,13,13,1.0
291283.0,9,9,1.0
291284.0,22,22,1.0
291285.0,13,13,1.0
291286.0,7,7,1.0
291287.0,7,7,1.0
291288.0,3,3,1.0
291289.0,7,7,1.0
291291.0,24,24,1.0
291292.0,11,11,1.0
291293.0,8,8,1.0
291295.0,3,3,1.0
291296.0,9,9,1.0
291297.0,23,23,1.0
291298.0,7,7,1.0
291299.0,31,31,1.0
291300.0,23,23,1.0
291301.0,10,10,1.0
291302.0,13,13,1.0
291303.0,23,23,1.0
291304.0,30,30,1.0
291305.0,9,9,1.0
291306.0,30,30,1.0
291307.0,23,23,1.0
291310.0,38,38,1.0
291311.0,15,15,1.0
291312.0,24,24,1.0
291313.0,11,11,1.0
291314.0,16,16,1.0
291315.0,29,29,1.0
291317.0,16,16,1.0
291318.0,9,9,1.0
291319.0,30,30,1.0
291321.0,25,25,1.0
291322.0,20,20,1.0
291323.0,21,21,1.0
291324.0,32,32,1.0
291327.0,26,26,1.0
291328.0,27,27,1.0
291329.0,20,20,1.0
291332.0,10,10,1.0
291335.0,12,12,1.0
291336.0,21,21,1.0
291338.0,11,11,1.0
291339.0,16,16,1.0
291340.0,28,28,1.0
291341.0,24,24,1.0
291344.0,25,25,1.0
291346.0,23,23,1.0
291347.0,16,16,1.0
291348.0,6,6,1.0
291349.0,46,46,1.0
291350.0,17,17,1.0
291351.0,15,15,1.0
291352.0,16,16,1.0
291354.0,6,6,1.0
291355.0,42,42,1.0
291356.0,6,6,1.0
291357.0,6,6,1.0
291358.0,35,35,1.0
291359.0,20,20,1.0
291360.0,45,45,1.0
291363.0,17,17,1.0
291364.0,21,21,1.0
291365.0,12,12,1.0
291366.0,15,15,1.0
291367.0,12,12,1.0
291368.0,39,39,1.0
291370.0,10,10,1.0
291371.0,33,33,1.0
291372.0,8,8,1.0
291374.0,22,22,1.0
291375.0,45,45,1.0
291376.0,11,11,1.0
291377.0,12,12,1.0
291379.0,9,9,1.0
291380.0,31,31,1.0
291381.0,21,21,1.0
291382.0,18,18,1.0
291383.0,7,7,1.0
291384.0,31,31,1.0
291385.0,16,16,1.0
291390.0,31,31,1.0
291391.0,7,7,1.0
291392.0,23,23,1.0
291393.0,16,16,1.0
