DHSCLUST,URBAN_RURA,DHSREGNA,round,displacement_R_m,primary_gp,primary_gp_prob,n_gps_hit,n_outside_any_gp,gp_distribution
13202.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13203.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13205.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13206.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13207.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13208.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13209.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13210.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13211.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13212.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13213.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13214.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13215.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13217.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13220.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13222.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13223.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13224.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13225.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13229.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13230.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13231.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13232.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13233.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13234.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13235.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13239.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13241.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13242.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13243.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13245.0,R,Saharanpur,NFHS5,5000,,0.0,0,1000,{}
13402.0,R,Bijnor,NFHS5,5000,54842.0,0.118,37,219,"{54842.0: 118, 54846.0: 83, 54872.0: 57, 54820.0: 48, 54863.0: 38, 54822.0: 35, 54840.0: 34, 54866.0: 26, 54957.0: 24, 54856.0: 23, 54818.0: 23, 54824.0: 22, 268160.0: 21, 54841.0: 21, 54870.0: 19, 268039.0: 19, 54821.0: 17, 54845.0: 14, 54838.0: 13, 54864.0: 13, 54865.0: 13, 54861.0: 12, 54867.0: 11, 54812.0: 10, 54849.0: 9, 54851.0: 8, 54871.0: 8, 54835.0: 8, 55611.0: 8, 54811.0: 6, 55651.0: 4, 54825.0: 4, 54837.0: 4, 54827.0: 3, 54844.0: 2, 54853.0: 2, 54823.0: 1}"
13403.0,R,Bijnor,NFHS5,5000,55247.0,0.066,39,550,"{55247.0: 66, 270216.0: 44, 55227.0: 32, 270185.0: 21, 55250.0: 21, 55287.0: 20, 55225.0: 18, 55199.0: 17, 55262.0: 17, 55238.0: 16, 55295.0: 15, 270176.0: 15, 55266.0: 14, 55216.0: 14, 55291.0: 13, 55252.0: 12, 55255.0: 11, 55286.0: 9, 270182.0: 8, 55224.0: 7, 55304.0: 7, 55251.0: 6, 55245.0: 6, 55310.0: 5, 55275.0: 5, 55241.0: 5, 55256.0: 4, 55213.0: 4, 55303.0: 4, 270242.0: 3, 55270.0: 2, 55217.0: 2, 55219.0: 1, 270168.0: 1, 55277.0: 1, 55242.0: 1, 55210.0: 1, 55299.0: 1, 55309.0: 1}"
13405.0,R,Bijnor,NFHS5,5000,54940.0,0.061,21,594,"{54940.0: 61, 54884.0: 41, 54925.0: 39, 54900.0: 39, 54918.0: 34, 54959.0: 28, 54953.0: 27, 54920.0: 24, 54881.0: 23, 54922.0: 21, 54906.0: 18, 265592.0: 14, 54935.0: 13, 54933.0: 7, 54888.0: 4, 54939.0: 3, 54903.0: 3, 265597.0: 2, 54882.0: 2, 54928.0: 2, 54923.0: 1}"
13406.0,R,Bijnor,NFHS5,5000,55670.0,0.162,37,29,"{55670.0: 162, 55656.0: 114, 55644.0: 80, 55625.0: 58, 55662.0: 53, 55585.0: 37, 268420.0: 36, 55598.0: 34, 55636.0: 33, 55596.0: 33, 55631.0: 32, 55618.0: 24, 55597.0: 24, 55648.0: 24, 55593.0: 23, 55633.0: 21, 55606.0: 20, 268278.0: 19, 55628.0: 18, 55588.0: 17, 55626.0: 14, 55674.0: 13, 55591.0: 11, 270047.0: 11, 55608.0: 11, 55646.0: 11, 55603.0: 8, 55649.0: 7, 55077.0: 6, 55583.0: 4, 55107.0: 3, 55545.0: 2, 55100.0: 2, 55578.0: 2, 267353.0: 2, 55592.0: 1, 55083.0: 1}"
13407.0,R,Bijnor,NFHS5,5000,55456.0,0.118,43,271,"{55456.0: 118, 241782.0: 80, 55455.0: 38, 55484.0: 37, 269480.0: 35, 55419.0: 33, 245619.0: 33, 55488.0: 29, 55444.0: 28, 55468.0: 26, 55454.0: 18, 55437.0: 17, 55458.0: 17, 55447.0: 15, 55462.0: 15, 55470.0: 15, 55445.0: 14, 269510.0: 13, 269095.0: 13, 55435.0: 12, 55491.0: 12, 55428.0: 11, 55423.0: 10, 269476.0: 10, 55434.0: 9, 269534.0: 8, 55409.0: 8, 55406.0: 8, 55443.0: 7, 269483.0: 6, 269493.0: 6, 55463.0: 5, 55416.0: 3, 269501.0: 3, 55424.0: 3, 245623.0: 3, 55450.0: 2, 55466.0: 2, 269284.0: 2, 269503.0: 2, 55425.0: 1, 269473.0: 1, 55465.0: 1}"
